starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 06 15:39:14 2015	1444160354	5	11	17	10
Tue Oct 06 15:39:15 2015	1444160355	7	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:15 2015	1444160355	7	10	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	8
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	9	8	17	8
Tue Oct 06 15:39:15 2015	1444160355	6	11	17	11
Tue Oct 06 15:39:15 2015	1444160355	7	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:15 2015	1444160355	8	9	17	9
Tue Oct 06 15:39:15 2015	1444160355	7	10	17	10
Tue Oct 06 15:39:15 2015	1444160355	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	9	8	17	8
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	9
Tue Oct 06 15:39:15 2015	1444160355	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	9	8	17	8
Tue Oct 06 15:39:15 2015	1444160355	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	9	8	17	8
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	9
Tue Oct 06 15:39:14 2015	1444160354	9	8	17	8
Tue Oct 06 15:39:15 2015	1444160355	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:15 2015	1444160355	6	11	17	10
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	9
Tue Oct 06 15:39:15 2015	1444160355	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	9
Tue Oct 06 15:39:15 2015	1444160355	7	10	17	9
Tue Oct 06 15:39:15 2015	1444160355	9	8	17	8
Tue Oct 06 15:39:14 2015	1444160354	8	10	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:15 2015	1444160355	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	8
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	9	9	17	8
Tue Oct 06 15:39:15 2015	1444160355	8	10	17	9
Tue Oct 06 15:39:15 2015	1444160355	9	8	17	8
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:15 2015	1444160355	9	8	17	8
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:15 2015	1444160355	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	9	9	17	9
Tue Oct 06 15:39:15 2015	1444160355	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	6	12	17	12
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:15 2015	1444160355	8	10	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	9	8	17	8
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:15 2015	1444160355	8	9	18	8
Tue Oct 06 15:39:14 2015	1444160354	6	12	18	12
Tue Oct 06 15:39:14 2015	1444160354	9	9	18	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	18	9
Tue Oct 06 15:39:15 2015	1444160355	5	12	18	12
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	7	11	18	10
Tue Oct 06 15:39:15 2015	1444160355	7	11	18	11
Tue Oct 06 15:39:14 2015	1444160354	7	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	7	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	8	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	9	18	9
Tue Oct 06 15:39:15 2015	1444160355	8	10	18	9
Tue Oct 06 15:39:14 2015	1444160354	9	9	18	9
Tue Oct 06 15:39:15 2015	1444160355	7	11	18	11
Tue Oct 06 15:39:14 2015	1444160354	7	11	18	11
Tue Oct 06 15:39:14 2015	1444160354	7	11	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	6	11	18	11
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	7	11	18	9
Tue Oct 06 15:39:15 2015	1444160355	6	12	18	12
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	7	11	18	11
Tue Oct 06 15:39:15 2015	1444160355	7	11	18	10
Tue Oct 06 15:39:14 2015	1444160354	7	11	18	11
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	7	11	18	11
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	10	8	18	8
Tue Oct 06 15:39:15 2015	1444160355	7	11	18	11
Tue Oct 06 15:39:15 2015	1444160355	8	10	18	9
Tue Oct 06 15:39:15 2015	1444160355	8	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	6	12	18	12
Tue Oct 06 15:39:14 2015	1444160354	9	9	18	9
Tue Oct 06 15:39:14 2015	1444160354	9	9	18	9
Tue Oct 06 15:39:15 2015	1444160355	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	6	12	18	12
Tue Oct 06 15:39:14 2015	1444160354	8	11	18	11
Tue Oct 06 15:39:15 2015	1444160355	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	7	11	18	9
Tue Oct 06 15:39:14 2015	1444160354	7	11	18	11
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	7	12	18	12
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	6	12	18	12
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	6	12	18	12
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	8	11	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	9	9	18	9
Tue Oct 06 15:39:15 2015	1444160355	9	9	18	9
Tue Oct 06 15:39:14 2015	1444160354	9	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	11	18	10
Tue Oct 06 15:39:14 2015	1444160354	9	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	7	12	18	12
Tue Oct 06 15:39:15 2015	1444160355	7	11	18	11
Tue Oct 06 15:39:14 2015	1444160354	8	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	8	11	18	10
Tue Oct 06 15:39:14 2015	1444160354	10	9	18	9
Tue Oct 06 15:39:15 2015	1444160355	9	10	18	10
Tue Oct 06 15:39:15 2015	1444160355	7	11	18	11
Tue Oct 06 15:39:14 2015	1444160354	9	10	18	10
Tue Oct 06 15:39:14 2015	1444160354	7	12	19	12
Tue Oct 06 15:39:14 2015	1444160354	8	10	19	10
Tue Oct 06 15:39:15 2015	1444160355	9	9	19	9
Tue Oct 06 15:39:14 2015	1444160354	8	10	19	10
Tue Oct 06 15:39:14 2015	1444160354	8	10	19	10
Tue Oct 06 15:39:15 2015	1444160355	7	11	19	11
Tue Oct 06 15:39:15 2015	1444160355	9	10	19	10
Tue Oct 06 15:39:14 2015	1444160354	10	9	19	9
Tue Oct 06 15:39:14 2015	1444160354	8	10	19	10
Tue Oct 06 15:39:15 2015	1444160355	8	11	19	11
Tue Oct 06 15:39:14 2015	1444160354	8	10	19	10
Tue Oct 06 15:39:15 2015	1444160355	9	9	19	9
Tue Oct 06 15:39:14 2015	1444160354	7	12	19	11
Tue Oct 06 15:39:14 2015	1444160354	6	13	19	13
Tue Oct 06 15:39:14 2015	1444160354	9	9	19	9
Tue Oct 06 15:39:14 2015	1444160354	8	11	19	11
Tue Oct 06 15:39:14 2015	1444160354	8	11	19	10
Tue Oct 06 15:39:14 2015	1444160354	9	10	19	10
Tue Oct 06 15:39:14 2015	1444160354	8	11	19	11
Tue Oct 06 15:39:14 2015	1444160354	9	9	19	9
Tue Oct 06 15:39:14 2015	1444160354	10	9	19	9
Tue Oct 06 15:39:14 2015	1444160354	8	11	19	10
Tue Oct 06 15:39:14 2015	1444160354	7	12	19	11
Tue Oct 06 15:39:15 2015	1444160355	9	10	19	10
Tue Oct 06 15:39:15 2015	1444160355	8	11	19	11
Tue Oct 06 15:39:15 2015	1444160355	8	11	19	11
Tue Oct 06 15:39:15 2015	1444160355	7	12	19	12
Tue Oct 06 15:39:15 2015	1444160355	9	10	19	10
Tue Oct 06 15:39:15 2015	1444160355	8	11	19	11
Tue Oct 06 15:39:15 2015	1444160355	7	12	19	12
Tue Oct 06 15:39:14 2015	1444160354	9	10	19	10
Tue Oct 06 15:39:14 2015	1444160354	9	11	19	11
Tue Oct 06 15:39:14 2015	1444160354	9	11	19	10
Tue Oct 06 15:39:14 2015	1444160354	7	12	19	11
Tue Oct 06 15:39:15 2015	1444160355	9	10	19	10
Tue Oct 06 15:39:15 2015	1444160355	6	13	19	13
Tue Oct 06 15:39:15 2015	1444160355	9	10	19	9
Tue Oct 06 15:39:14 2015	1444160354	7	12	19	10
Tue Oct 06 15:39:14 2015	1444160354	8	11	19	11
Tue Oct 06 15:39:14 2015	1444160354	9	10	19	10
Tue Oct 06 15:39:14 2015	1444160354	7	12	19	12
Tue Oct 06 15:39:15 2015	1444160355	9	11	19	11
Tue Oct 06 15:39:15 2015	1444160355	8	11	19	11
Tue Oct 06 15:39:15 2015	1444160355	8	11	19	11
Tue Oct 06 15:39:14 2015	1444160354	8	11	19	11
Tue Oct 06 15:39:14 2015	1444160354	8	11	19	11
Tue Oct 06 15:39:14 2015	1444160354	9	11	19	11
Tue Oct 06 15:39:14 2015	1444160354	10	9	19	9
Tue Oct 06 15:39:14 2015	1444160354	8	11	19	11
Tue Oct 06 15:39:15 2015	1444160355	7	12	19	12
Tue Oct 06 15:39:15 2015	1444160355	7	12	19	12
Tue Oct 06 15:39:14 2015	1444160354	8	11	19	11
Tue Oct 06 15:39:14 2015	1444160354	8	11	19	10
Tue Oct 06 15:39:14 2015	1444160354	9	11	19	11
Tue Oct 06 15:39:15 2015	1444160355	8	12	20	12
Tue Oct 06 15:39:14 2015	1444160354	8	11	20	11
Tue Oct 06 15:39:14 2015	1444160354	8	11	20	11
Tue Oct 06 15:39:14 2015	1444160354	8	12	20	12
Tue Oct 06 15:39:15 2015	1444160355	10	10	20	10
Tue Oct 06 15:39:14 2015	1444160354	9	11	20	11
Tue Oct 06 15:39:15 2015	1444160355	7	13	20	12
Tue Oct 06 15:39:14 2015	1444160354	8	12	20	11
Tue Oct 06 15:39:14 2015	1444160354	9	11	20	11
Tue Oct 06 15:39:15 2015	1444160355	10	10	20	10
Tue Oct 06 15:39:15 2015	1444160355	8	12	20	12
Tue Oct 06 15:39:14 2015	1444160354	11	9	20	9
Tue Oct 06 15:39:15 2015	1444160355	9	10	20	9
Tue Oct 06 15:39:14 2015	1444160354	9	11	20	11
Tue Oct 06 15:39:14 2015	1444160354	7	13	20	12
Tue Oct 06 15:39:14 2015	1444160354	8	12	20	12
Tue Oct 06 15:39:14 2015	1444160354	7	13	20	13
Tue Oct 06 15:39:15 2015	1444160355	9	11	20	11
Tue Oct 06 15:39:14 2015	1444160354	9	11	20	11
Tue Oct 06 15:39:15 2015	1444160355	7	13	20	12
Tue Oct 06 15:39:14 2015	1444160354	9	11	20	11
Tue Oct 06 15:39:15 2015	1444160355	9	11	20	11
Tue Oct 06 15:39:14 2015	1444160354	10	10	20	10
